Year,ActivityDate,FishTicketN,Vessel,Coop,Season,Pollock,Chinook
2000,2/16/00,G99001695,GREAT PACIFIC,Unalaska,A,216.8275375,0
2000,2/16/00,G99001696,MORNING STAR,Unalaska,A,298.3403015,1
2000,2/16/00,G99004365,COMMODORE,Northern Victor,A,209.6960907,0
2000,2/16/00,G99004689,STARFISH,Unisea,A,277.7792358,4
2000,2/16/00,G99004690,ALSEA,Unisea,A,274.3284912,0
2000,2/16/00,G99004691,AURIGA,Unisea,A,548.2852173,1
2000,2/16/00,G99005952,DOMINATOR,Akutan pollock,A,298.8959351,3
2000,2/16/00,G99015098,VIKING,Westward,A,340.0408325,0
2000,2/16/00,G99015100,PACIFIC PRINCE,Westward,A,436.6052856,1
2000,2/17/00,G98032784,ARCTIC EXPLORER,Akutan pollock,A,217.4340057,0
2000,2/17/00,G99001697,SEA WOLF,Unalaska,A,316.6411133,0
2000,2/17/00,G99004366,ROYAL ATLANTIC,Northern Victor,A,225.098896,0
2000,2/17/00,G99004692,ARCTIC WIND,Westward,A,198.9549561,0
2000,2/17/00,G99004693,AURORA,Unisea,A,535.2307129,0
2000,2/17/00,G99015102,PACIFIC KNIGHT,Westward,A,379.949646,1
2000,2/17/00,G99023007,DONA MARTITA,Westward,A,249.710144,0
2000,2/17/00,G99023009,PEGASUS,Akutan pollock,A,128.0658569,1
2000,2/17/00,G99023011,RAVEN,Akutan pollock,A,111.044632,0
2000,2/17/00,G99023015,GLADIATOR,Akutan pollock,A,268.1774521,1.000000015
2000,2/17/00,G99023016,SOVEREIGNTY,Akutan pollock,A,211.056427,6
2000,2/17/00,G99023019,ROYAL AMERICAN,Akutan pollock,A,147.0498047,2
2000,2/18/00,G99001698,DESTINATION,Unalaska,A,428.5725403,2
2000,2/18/00,G99001699,BERING ROSE,Unalaska,A,346.4973145,0
2000,2/18/00,G99001700,PROGRESS,Unalaska,A,161.8452454,1.000000015
2000,2/18/00,G99004368,POSEIDON,Northern Victor,A,193.0486298,0
2000,2/18/00,G99004694,ARGOSY,Unisea,A,355.0068512,1
2000,2/18/00,G99004695,SEADAWN,Unisea,A,196.9275627,0.999999978
2000,2/18/00,G99015107,FIERCE ALLEGIANCE,Unisea,A,266.3190613,1.99999994
2000,2/18/00,G99015108,WESTWARD I,Westward,A,276.7223206,0
2000,2/18/00,G99015110,CAITLIN ANN,Westward,A,235.0948029,2
2000,2/18/00,G99023021,ALDEBARAN,Akutan pollock,A,106.4333649,0
2000,2/18/00,G99023027,ARCTURUS,Akutan pollock,A,167.9692535,0
2000,2/19/00,G98032786,ARCTIC EXPLORER,Akutan pollock,A,205.7525177,2
2000,2/19/00,G99004369,ARCTIC WIND,Westward,A,240.0403748,1
2000,2/19/00,G99004697,NORDIC STAR,Unisea,A,186.0659943,1
2000,2/19/00,G99004698,STARFISH,Unisea,A,284.0789795,0
2000,2/19/00,G99004699,DEFENDER,Unisea,A,696.194397,0
2000,2/19/00,G99015113,CHELSEA K,Westward,A,756.6147614,0
2000,2/19/00,G99015116,VIKING,Westward,A,335.9611816,0
2000,2/19/00,G99018526,GREAT PACIFIC,Unalaska,A,237.6013947,0
2000,2/19/00,G99018527,ALASKA ROSE,Unalaska,A,336.0137939,0
2000,2/19/00,G99023030,PEGASUS,Akutan pollock,A,118.0445404,1
2000,2/19/00,G99023032,GOLDEN DAWN,Akutan pollock,A,298.6446533,0
2000,2/19/00,G99023033,RAVEN,Akutan pollock,A,134.9310608,2
2000,2/19/00,G99023036,DOMINATOR,Akutan pollock,A,334.2619934,0
2000,2/20/00,G98032787,OCEAN EXPLORER,Akutan pollock,A,249.428009,1
2000,2/20/00,G99004370,STORM PETREL,Northern Victor,A,235.7661285,0
2000,2/20/00,G99004371,COMMODORE,Northern Victor,A,231.92099,0
2000,2/20/00,G99004700,ALSEA,Unisea,A,363.7557983,1
2000,2/20/00,G99004851,ARCTIC WIND,Westward,A,219.0270844,0
2000,2/20/00,G99004852,AURIGA,Unisea,A,528.5179367,1.999999978
2000,2/20/00,G99004853,SEADAWN,Unisea,A,302.5061951,1
2000,2/20/00,G99015117,PACIFIC PRINCE,Westward,A,460.4907837,0
2000,2/20/00,G99018528,MORNING STAR,Unalaska,A,264.0769348,0
2000,2/20/00,G99018529,WESTERN DAWN,Unalaska,A,132.9306946,0
2000,2/20/00,G99023039,COLUMBIA,Akutan pollock,A,219.9183502,0
2000,2/20/00,G99023043,NORTHERN PATRIOT,Akutan pollock,A,393.9413223,0
2000,2/20/00,G99023047,DONA MARTITA,Westward,A,433.7879944,1
2000,2/20/00,G99023051,SOVEREIGNTY,Akutan pollock,A,445.5783386,1
2000,2/21/00,G99004854,ARGOSY,Unisea,A,366.4334106,0
2000,2/21/00,G99004855,AURORA,Unisea,A,483.9377441,0
2000,2/21/00,G99004856,NORDIC STAR,Unisea,A,186.9643154,1.000000015
2000,2/21/00,G99015121,CAITLIN ANN,Westward,A,281.0800171,0
2000,2/21/00,G99015122,FIERCE ALLEGIANCE,Unisea,A,317.1681929,2.000000037
2000,2/21/00,G99015123,WESTWARD I,Westward,A,300.4091492,1
2000,2/21/00,G99018530,PROGRESS,Unalaska,A,195.0231323,0
2000,2/21/00,G99018531,GREAT PACIFIC,Unalaska,A,216.6773987,1
2000,2/21/00,G99023050,PACIFIC VIKING,Akutan pollock,A,185.3225098,0
2000,2/21/00,G99023056,GLADIATOR,Akutan pollock,A,287.5682678,0
2000,2/21/00,G99023060,ROYAL AMERICAN,Akutan pollock,A,166.5150146,1
2000,2/21/00,G99023061,ALDEBARAN,Akutan pollock,A,219.6706848,0
2000,2/22/00,G98032789,ARCTIC EXPLORER,Akutan pollock,A,250.4009857,0
2000,2/22/00,G99004373,ROYAL ATLANTIC,Northern Victor,A,225.9135437,0
2000,2/22/00,G99004374,POSEIDON,Northern Victor,A,182.6839294,1
2000,2/22/00,G99004857,STARFISH,Unisea,A,292.2632217,0
2000,2/22/00,G99004858,GUN-MAR,Unisea,A,554.3239746,1
2000,2/22/00,G99015127,CHELSEA K,Westward,A,828.3357544,0
2000,2/22/00,G99016994,OCEAN LEADER,Peter Pan,A,154.4711075,0
2000,2/22/00,G99018532,SEA WOLF,Unalaska,A,292.3632507,1
2000,2/22/00,G99018533,DESTINATION,Unalaska,A,438.4555054,3
2000,2/22/00,G99023063,INTREPID EXPLORER,Arctic Ent,A,188.6133575,0
2000,2/22/00,G99023065,RAVEN,Akutan pollock,A,147.719759,0.999999989
2000,2/22/00,G99023069,PEGASUS,Akutan pollock,A,130.765213,2.00000006
2000,2/22/00,G99023071,NORDIC EXPLORER,Akutan pollock,A,164.5572968,0
2000,2/22/00,G99023075,VIKING EXPLORER,Akutan pollock,A,221.3920898,1
2000,2/22/00,G99023076,ARCTURUS,Akutan pollock,A,207.4394379,0
2000,2/23/00,G98032791,PACIFIC EXPLORER,Akutan pollock,A,280.5964661,1
2000,2/23/00,G99004375,STORM PETREL,Northern Victor,A,238.4623108,1
2000,2/23/00,G99004859,DEFENDER,Unisea,A,775.0519409,0
2000,2/23/00,G99004860,ALSEA,Unisea,A,341.8650208,0
2000,2/23/00,G99004861,ARCTIC WIND,Westward,A,214.7172241,1
2000,2/23/00,G99015126,VIKING,Westward,A,343.390625,1
2000,2/23/00,G99015132,PACIFIC PRINCE,Westward,A,447.0339355,1
2000,2/23/00,G99018534,BERING ROSE,Unalaska,A,322.8712769,0
2000,2/23/00,G99018535,ALASKA ROSE,Unalaska,A,350.9797668,1
2000,2/23/00,G99023074,GOLDEN DAWN,Akutan pollock,A,297.2140198,0
2000,2/23/00,G99023081,DOMINATOR,Akutan pollock,A,305.9013062,0
2000,2/23/00,G99023082,NORTHERN PATRIOT,Akutan pollock,A,451.2301636,2.00000006
2000,2/23/00,G99023089,DONA MARTITA,Westward,A,409.3903503,2
2000,2/24/00,G98032793,OCEAN EXPLORER,Akutan pollock,A,202.0230408,0
2000,2/24/00,G98032794,BRISTOL EXPLORER,Akutan pollock,A,205.051712,0
2000,2/24/00,G99004301,COMMODORE,Northern Victor,A,170.2140961,2
2000,2/24/00,G99004302,ROYAL ATLANTIC,Northern Victor,A,218.4695587,1
2000,2/24/00,G99004862,AURIGA,Unisea,A,540.5517731,1
2000,2/24/00,G99004863,AMERICAN EAGLE,Northern Victor,A,225.1544838,0
2000,2/24/00,G99004864,ARGOSY,Unisea,A,346.4930725,0
2000,2/24/00,G99015135,PACIFIC KNIGHT,Westward,A,436.7835388,2
2000,2/24/00,G99015137,CAITLIN ANN,Westward,A,275.7271118,1
2000,2/24/00,G99015139,WESTWARD I,Westward,A,247.2475739,0
2000,2/24/00,G99018536,MORNING STAR,Unalaska,A,349.4797363,1
2000,2/24/00,G99018537,WESTERN DAWN,Unalaska,A,134.6126251,0
2000,2/24/00,G99023087,COLUMBIA,Akutan pollock,A,198.9549103,1
2000,2/24/00,G99023090,PEGASUS,Akutan pollock,A,139.6802216,1
2000,2/24/00,G99023096,RAVEN,Akutan pollock,A,131.7926178,0
2000,2/24/00,G99023098,INTREPID EXPLORER,Arctic Ent,A,139.7822723,0
2000,2/24/00,G99023100,SOVEREIGNTY,Akutan pollock,A,393.6922913,1
2000,2/25/00,G98032795,ARCTIC EXPLORER,Akutan pollock,A,318.1479492,0
2000,2/25/00,G99004865,AURORA,Unisea,A,535.1975708,0
2000,2/25/00,G99004866,SEADAWN,Unisea,A,304.06633,0
2000,2/25/00,G99015141,FIERCE ALLEGIANCE,Unisea,A,329.1912231,0
2000,2/25/00,G99018538,GREAT PACIFIC,Unalaska,A,217.4208527,0
2000,2/25/00,G99018539,PROGRESS,Unalaska,A,183.2055681,0.999999996
2000,2/25/00,G99018540,SEA WOLF,Unalaska,A,261.7912521,1
2000,2/25/00,G99023105,GLADIATOR,Akutan pollock,A,189.7273865,1
2000,2/25/00,G99023106,PACIFIC VIKING,Akutan pollock,A,220.5021362,0
2000,2/25/00,G99023109,NORDIC EXPLORER,Akutan pollock,A,200.4272919,0
2000,2/25/00,G99023111,ALDEBARAN,Akutan pollock,A,223.3643341,0
